species,date,geartype,sex,inches,grams,age,agestruct
BG,4/15/1999,BOOM SHOCKER,NA,2.3,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.4,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.4,9,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.5,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.5,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.6,6,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.6,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,4,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.7,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.7,6,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,5,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.8,5,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.8,5,NA,NA
